year,administration,party,omb_balance_pct_gdp,deficit_pct_gdp,cpi_annual_avg,inflation_same_year_pct,inflation_next_year_pct
1980,Carter,Democrat,-2.6,2.6,82.400,13.498623,10.315534
1981,Reagan,Republican,-2.5,2.5,90.900,10.315534,6.160616
1982,Reagan,Republican,-3.9,3.9,96.500,6.160616,3.212435
1983,Reagan,Republican,-5.9,5.9,99.600,3.212435,4.317269
1984,Reagan,Republican,-4.7,4.7,103.900,4.317269,3.561116
1985,Reagan,Republican,-5.0,5.0,107.600,3.561116,1.858736
1986,Reagan,Republican,-4.9,4.9,109.600,1.858736,3.649635
1987,Reagan,Republican,-3.1,3.1,113.600,3.649635,4.137324
1988,Reagan,Republican,-3.0,3.0,118.300,4.137324,4.818259
1989,Bush 41,Republican,-2.7,2.7,124.000,4.818259,5.403226
1990,Bush 41,Republican,-3.7,3.7,130.700,5.403226,4.208110
1991,Bush 41,Republican,-4.4,4.4,136.200,4.208110,3.010279
1992,Bush 41,Republican,-4.5,4.5,140.300,3.010279,2.993585
1993,Clinton,Democrat,-3.8,3.8,144.500,2.993585,2.560554
1994,Clinton,Democrat,-2.8,2.8,148.200,2.560554,2.834008
1995,Clinton,Democrat,-2.2,2.2,152.400,2.834008,2.952756
1996,Clinton,Democrat,-1.4,1.4,156.900,2.952756,2.294455
1997,Clinton,Democrat,-0.3,0.3,160.500,2.294455,1.557632
1998,Clinton,Democrat,0.8,-0.8,163.000,1.557632,2.208589
1999,Clinton,Democrat,1.3,-1.3,166.600,2.208589,3.361345
2000,Clinton,Democrat,2.3,-2.3,172.200,3.361345,2.845528
2001,Bush 43,Republican,1.2,-1.2,177.100,2.845528,1.581028
2002,Bush 43,Republican,-1.5,1.5,179.900,1.581028,2.279044
2003,Bush 43,Republican,-3.3,3.3,184.000,2.279044,2.663043
2004,Bush 43,Republican,-3.4,3.4,188.900,2.663043,3.388036
2005,Bush 43,Republican,-2.5,2.5,195.300,3.388036,3.225806
2006,Bush 43,Republican,-1.8,1.8,201.600,3.225806,2.848214
2007,Bush 43,Republican,-1.1,1.1,207.342,2.848214,3.839550
2008,Bush 43,Republican,-3.1,3.1,215.303,3.839550,-0.355778
2009,Obama,Democrat,-9.8,9.8,214.537,-0.355778,1.640277
2010,Obama,Democrat,-8.7,8.7,218.056,1.640277,3.156529
2011,Obama,Democrat,-8.4,8.4,224.939,3.156529,2.069450
2012,Obama,Democrat,-6.7,6.7,229.594,2.069450,1.464760
2013,Obama,Democrat,-4.1,4.1,232.957,1.464760,1.622188
2014,Obama,Democrat,-2.8,2.8,236.736,1.622188,0.118698
2015,Obama,Democrat,-2.4,2.4,237.017,0.118698,1.261513
2016,Obama,Democrat,-3.1,3.1,240.007,1.261513,2.130355
2017,Trump,Republican,-3.4,3.4,245.120,2.130355,2.442477
2018,Trump,Republican,-3.8,3.8,251.107,2.442477,1.811977
2019,Trump,Republican,-4.6,4.6,255.657,1.811977,1.233684
2020,Trump,Republican,-14.7,14.7,258.811,1.233684,4.698023
2021,Biden,Democrat,-12.1,12.1,270.970,4.698023,8.002731
2022,Biden,Democrat,-5.4,5.4,292.655,8.002731,4.116451
2023,Biden,Democrat,-6.3,6.3,304.702,4.116451,2.949439
